edad,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p8_1,p8_2,p14_1,p14_2,p20_1,p20_2,p26,p30,p32,p34_4,year,grupo_edad,grupo_edad_numerico,reads_physical,reads_digital
52,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,46-55,3,0,0
75,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1,2019,70+,5,0,0
67,2,2,2,1,2,2,0,0,0,0,1,2,15,2,0,1,2019,56-70,4,1,0
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1,2019,56-70,4,0,0
66,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2019,56-70,4,0,0
39,1,2,1,1,2,1,0,0,2,1,2,1,10,4,0,1,2019,31-45,2,1,1
47,1,1,2,2,2,1,2,1,0,0,0,0,60,3,0,1,2019,46-55,3,1,1
42,1,2,2,1,2,2,0,0,0,0,2,1,15,3,0,1,2019,31-45,2,1,0
67,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,3,2019,56-70,4,0,0
45,1,2,2,1,2,2,0,0,0,0,2,1,20,3,0,1,2019,31-45,2,1,0
51,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,46-55,3,0,0
50,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2019,46-55,3,1,1
29,1,1,2,2,2,1,1,1,0,0,0,0,40,3,0,1,2019,18-30,1,1,1
62,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,56-70,4,0,0
63,1,1,2,2,2,2,2,1,0,0,0,0,40,3,0,1,2019,56-70,4,1,0
73,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,1,2019,70+,5,1,0
56,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,56-70,4,0,0
24,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,18-30,1,0,0
47,1,1,2,2,2,2,1,2,0,0,0,0,30,3,0,2,2019,46-55,3,1,0
41,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,31-45,2,0,0
28,2,2,2,1,2,1,0,0,0,0,2,1,10,3,0,1,2019,18-30,1,1,1
56,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,56-70,4,0,0
31,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
43,1,1,2,1,2,1,1,2,0,0,1,2,30,3,0,1,2019,31-45,2,1,1
52,1,1,2,2,2,1,2,1,0,0,0,0,40,3,0,1,2019,46-55,3,1,1
19,2,2,2,1,2,1,0,0,0,0,2,1,10,3,0,1,2019,18-30,1,1,1
21,2,2,2,2,2,1,0,0,0,0,0,0,10,3,0,1,2019,18-30,1,0,1
25,2,2,2,1,2,2,0,0,0,0,2,1,10,3,0,1,2019,18-30,1,1,0
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,46-55,3,0,0
25,1,1,2,2,2,1,1,1,0,0,0,0,30,3,0,1,2019,18-30,1,1,1
20,1,1,2,2,2,1,1,1,0,0,0,0,45,3,0,1,2019,18-30,1,1,1
62,1,1,2,2,2,1,1,2,0,0,0,0,30,3,0,1,2019,56-70,4,1,1
18,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2019,18-30,1,0,0
43,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2019,31-45,2,0,0
35,2,2,2,2,2,1,0,0,0,0,0,0,15,3,0,1,2019,31-45,2,0,1
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
38,2,2,2,2,2,1,0,0,0,0,0,0,15,3,0,1,2019,31-45,2,0,1
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
47,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,46-55,3,0,0
21,1,1,2,2,2,1,1,1,0,0,0,0,30,3,0,1,2019,18-30,1,1,1
75,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,70+,5,0,0
37,2,2,2,2,2,1,0,0,0,0,0,0,15,3,0,1,2019,31-45,2,0,1
41,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
34,1,2,2,1,2,2,0,0,0,0,2,1,20,1,0,1,2019,31-45,2,1,0
43,2,2,2,2,2,1,0,0,0,0,0,0,15,3,0,1,2019,31-45,2,0,1
50,1,1,1,1,2,1,2,1,2,1,2,1,60,3,0,1,2019,46-55,3,1,1
57,1,1,1,1,2,1,2,1,2,1,2,1,40,3,0,1,2019,56-70,4,1,1
78,1,1,1,1,2,1,2,1,2,1,2,1,120,3,0,1,2019,70+,5,1,1
41,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,2,2019,31-45,2,1,1
24,2,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2019,18-30,1,1,1
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,31-45,2,0,0
43,1,1,1,2,1,1,2,1,2,1,0,0,20,3,0,1,2019,31-45,2,1,1
36,2,2,1,2,2,1,0,0,1,2,0,0,5,2,0,1,2019,31-45,2,1,1
35,1,1,1,1,2,1,2,1,2,1,2,1,20,3,0,1,2019,31-45,2,1,1
25,1,2,2,2,2,1,0,0,0,0,0,0,10,2,0,2,2019,18-30,1,0,1
45,2,2,2,2,2,1,0,0,0,0,0,0,20,4,0,2,2019,31-45,2,0,1
46,2,2,2,1,2,1,0,0,0,0,2,1,30,3,0,1,2019,46-55,3,1,1
56,1,2,2,1,2,1,0,0,0,0,1,2,60,3,0,1,2019,56-70,4,1,1
60,1,1,2,1,2,1,2,1,0,0,2,1,60,3,0,1,2019,56-70,4,1,1
65,1,2,1,2,2,2,0,0,2,1,0,0,20,2,0,2,2019,56-70,4,1,0
47,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,46-55,3,0,0
36,1,2,2,2,2,1,0,0,0,0,0,0,60,4,0,1,2019,31-45,2,0,1
55,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,46-55,3,0,0
57,2,2,1,2,2,1,0,0,2,1,0,0,15,2,0,1,2019,56-70,4,1,1
73,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,2,2019,70+,5,1,0
41,1,1,2,1,2,1,2,1,0,0,2,1,30,2,0,2,2019,31-45,2,1,1
36,1,1,1,1,2,1,2,1,2,1,2,1,30,3,0,1,2019,31-45,2,1,1
58,1,2,1,1,2,2,0,0,2,1,2,1,40,3,0,2,2019,56-70,4,1,0
28,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,18-30,1,0,0
77,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,70+,5,0,0
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,3,2019,31-45,2,0,0
35,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,31-45,2,0,0
25,1,1,2,2,2,2,1,2,0,0,0,0,15,3,0,2,2019,18-30,1,1,0
55,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,46-55,3,0,0
38,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,31-45,2,0,0
43,1,1,2,2,2,1,2,1,0,0,0,0,15,3,0,1,2019,31-45,2,1,1
65,1,1,1,2,2,1,1,2,2,1,0,0,90,3,0,2,2019,56-70,4,1,1
73,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2019,70+,5,0,0
40,1,2,1,2,2,1,0,0,2,1,0,0,20,4,0,1,2019,31-45,2,1,1
55,1,2,2,1,2,2,0,0,0,0,2,1,30,3,0,2,2019,46-55,3,1,0
39,1,1,1,2,2,1,1,2,2,1,0,0,80,4,0,1,2019,31-45,2,1,1
42,1,1,2,2,2,2,2,1,0,0,0,0,10,3,0,2,2019,31-45,2,1,0
55,1,1,2,2,2,2,2,1,0,0,0,0,30,4,0,2,2019,46-55,3,1,0
43,1,1,1,2,2,2,2,1,2,1,0,0,15,4,0,1,2019,31-45,2,1,0
45,1,2,1,2,2,2,0,0,2,1,0,0,30,4,0,2,2019,31-45,2,1,0
46,1,1,2,2,2,1,1,1,0,0,0,0,20,3,0,1,2019,46-55,3,1,1
64,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,56-70,4,0,0
40,1,1,2,1,2,1,2,1,0,0,2,1,30,4,0,1,2019,31-45,2,1,1
53,1,2,2,1,2,2,0,0,0,0,2,1,15,3,0,2,2019,46-55,3,1,0
64,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,56-70,4,0,0
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
26,2,2,1,2,2,1,0,0,2,1,0,0,20,3,0,2,2019,18-30,1,1,1
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,31-45,2,0,0
45,1,2,1,2,2,1,0,0,2,1,0,0,25,4,0,1,2019,31-45,2,1,1
52,1,1,2,2,2,2,2,1,0,0,0,0,40,3,0,1,2019,46-55,3,1,0
41,1,1,1,1,2,1,2,1,1,2,1,2,40,4,0,1,2019,31-45,2,1,1
31,1,2,2,2,2,1,0,0,0,0,0,0,25,4,0,1,2019,31-45,2,0,1
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,56-70,4,0,0
72,1,1,1,2,2,2,2,1,2,1,0,0,60,3,0,2,2019,70+,5,1,0
48,1,1,2,2,2,1,2,1,0,0,0,0,25,4,0,1,2019,46-55,3,1,1
57,1,1,2,2,2,2,2,1,0,0,0,0,20,3,0,2,2019,56-70,4,1,0
71,1,2,1,2,2,2,0,0,2,1,0,0,20,2,0,2,2019,70+,5,1,0
53,1,2,1,2,2,1,0,0,1,2,0,0,20,4,0,2,2019,46-55,3,1,1
32,1,2,1,2,2,1,0,0,2,1,0,0,15,3,0,2,2019,31-45,2,1,1
23,1,1,2,2,2,1,1,2,0,0,0,0,60,3,0,2,2019,18-30,1,1,1
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,46-55,3,0,0
47,1,1,2,1,2,1,2,1,0,0,1,2,60,4,0,2,2019,46-55,3,1,1
29,2,2,2,2,2,1,0,0,0,0,0,0,30,4,0,1,2019,18-30,1,0,1
29,1,1,1,2,2,2,2,1,2,1,0,0,80,4,0,1,2019,18-30,1,1,0
36,1,2,1,2,2,1,0,0,2,1,0,0,25,4,0,1,2019,31-45,2,1,1
